user_id,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Mojito,0,5,5,5,0,5,5,0,5,0,0,5,5,5,0,5,5,1,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,1,0,0,5,0,0,5,0,0,5,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5
Peach Crush,0,5,5,5,0,5,0,0,5,0,0,5,5,5,0,5,0,5,5,5,5,0,5,5,0,1,0,5,0,5,0,5,5,5,5,5,0,5,1,0,0,5,0,1,5,5,0,5,5,5,5,0,5,5,0,5,0,1,5,0,5
Old Fashioned,0,0,5,1,0,5,0,5,0,0,0,5,5,5,0,0,0,0,5,5,5,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blue Hawaii,0,1,1,5,0,1,5,0,5,5,0,5,5,5,0,1,5,5,5,5,0,5,1,0,5,1,0,0,0,5,0,0,5,5,5,5,0,0,1,0,0,5,0,0,1,1,5,5,5,1,5,5,5,5,5,5,0,0,0,5,5
Long Island Tea,0,0,5,0,0,1,0,0,0,0,0,5,0,5,0,5,0,5,5,5,5,0,1,0,0,5,0,1,0,0,0,0,1,0,5,5,0,0,1,0,0,5,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,5,0,5
Dry Martini,1,0,5,0,0,5,0,0,5,0,0,5,0,5,0,0,1,1,0,5,5,0,5,0,0,5,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5
Apple Martini,0,5,1,5,0,1,0,0,5,0,0,5,0,5,0,0,0,5,0,5,5,0,1,5,5,5,0,5,0,0,0,5,1,5,5,5,0,0,0,0,0,5,0,0,5,5,0,0,5,0,5,0,0,5,0,0,0,1,0,0,5
Margarita,5,0,5,0,0,5,5,0,5,0,0,1,0,5,0,5,0,1,5,5,5,0,1,5,0,5,0,1,0,0,0,0,1,5,0,5,0,0,5,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
Manhattan,0,0,5,0,0,5,0,0,0,0,0,1,0,5,0,0,0,1,0,5,5,0,1,5,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jin tonic,5,5,5,5,0,5,5,0,5,5,0,5,0,5,0,0,5,5,5,5,5,0,1,5,5,5,5,1,5,0,0,5,5,5,0,1,0,0,5,0,0,1,1,0,0,5,0,5,5,5,1,0,5,0,5,0,5,5,0,0,1
Cosmopolitan,0,0,1,0,0,0,0,0,0,0,0,5,0,5,0,5,0,1,0,5,5,0,5,0,0,1,0,0,0,0,0,0,5,1,0,5,0,0,0,1,0,5,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,5
Kahlua Milk,5,1,1,5,0,1,5,0,0,1,0,1,5,5,0,5,5,1,5,5,5,5,1,0,0,1,5,1,0,5,0,5,5,5,1,5,0,5,5,0,0,5,0,0,5,5,0,5,1,5,5,0,5,5,5,5,1,1,0,0,1
June Bug,0,0,5,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,5,5,5,0,0,0,0,5,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,5,5,0,0,0,0,0,5,5,0,5,0,5
Tequila Sunrise,0,5,5,1,0,5,0,0,0,0,0,1,0,5,0,5,0,5,1,5,5,0,5,5,0,1,0,1,0,0,0,1,5,0,0,5,0,0,5,0,0,5,1,0,0,5,0,5,0,0,0,0,0,0,0,0,5,1,5,5,5
Barcardi,5,1,1,5,0,1,1,0,0,0,0,1,0,5,0,0,5,1,0,5,5,0,0,0,0,5,0,1,0,0,0,1,0,1,0,5,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
Vodca & tonic,0,0,1,5,0,1,5,0,5,1,0,5,1,5,0,0,5,5,5,5,5,0,1,5,0,1,5,1,5,5,0,1,5,5,0,5,0,5,5,0,0,1,5,1,0,5,0,5,0,5,1,0,5,0,5,0,5,1,0,0,0
Whiskey sour,0,5,5,5,0,5,0,0,0,5,0,0,0,5,0,0,0,5,1,5,5,0,5,0,5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God Father,0,0,5,0,0,5,0,5,0,5,0,5,0,5,0,0,0,1,5,5,5,0,1,5,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1
Screw Driver,5,5,5,0,0,5,0,0,0,5,0,5,5,5,0,0,0,1,5,5,5,0,5,5,0,1,5,1,0,0,0,0,0,0,5,5,0,0,1,0,0,5,0,0,0,5,0,5,0,1,0,0,0,0,0,5,5,0,0,0,5
Midori sour,0,5,5,0,0,1,0,0,0,0,0,5,1,5,0,1,0,5,0,5,5,0,5,0,0,5,0,5,0,0,0,0,5,5,0,0,0,1,0,0,0,1,0,0,0,5,5,0,5,5,5,0,5,0,0,5,5,5,0,0,5
Jack Coke,0,5,5,5,1,5,1,5,0,5,0,5,5,5,0,0,5,1,5,1,5,0,5,5,0,5,1,1,0,5,0,0,5,0,0,5,0,5,5,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,1,1,0,5
Jägerbomb,1,5,1,0,0,1,0,0,0,0,0,5,0,5,0,0,5,5,1,5,5,5,1,0,5,1,5,1,5,0,0,1,5,1,0,5,0,0,5,0,0,5,5,0,0,5,0,0,1,5,1,0,5,5,0,5,1,0,0,5,5
